timestamp,ticker,news_sentiment_mean,news_sentiment_max,news_sentiment_min,news_volume
2026-05-05T06:05:32.513160+00:00,AAPL,0.12370599999999994,0.8481,-0.6705,200
2026-05-05T06:05:32.985158+00:00,MSFT,0.11540199999999995,0.8074,-0.8004,200
2026-05-05T06:05:33.397095+00:00,GOOGL,0.106433,0.7783,-0.6697,200
2026-05-05T06:05:33.819124+00:00,AMZN,0.13690150000000006,0.8074,-0.7579,200
2026-05-05T06:05:34.364182+00:00,NVDA,0.07081699999999999,0.7783,-0.7003,200
2026-05-05T06:05:34.813573+00:00,META,0.08903900000000001,0.7717,-0.6369,200
2026-05-05T06:05:35.307762+00:00,TSLA,0.06441150000000001,0.8176,-0.743,200
2026-05-05T06:05:36.102104+00:00,JPM,0.01749083969465648,0.7351,-0.8689,131
2026-05-05T06:05:36.550446+00:00,V,0.14032203389830505,0.8591,-0.4939,177
2026-05-05T06:05:36.948667+00:00,UNH,0.15366000000000002,0.7579,-0.5267,45
2026-05-05T06:05:37.374646+00:00,JNJ,0.17630363636363638,0.802,-0.6597,55
2026-05-05T06:05:37.782038+00:00,WMT,0.18916125,0.8442,-0.5423,80
2026-05-05T06:05:38.256119+00:00,PG,0.13114545454545454,0.85,-0.4767,44
2026-05-05T06:05:38.751031+00:00,MA,0.11086372549019609,0.7096,-0.4939,102
2026-05-05T06:05:39.108237+00:00,HD,0.07655185185185183,0.7579,-0.4404,27
2026-05-05T06:05:39.552288+00:00,DIS,0.03524513274336282,0.7845,-0.6249,113
2026-05-05T06:05:40.005896+00:00,BAC,0.06430000000000001,0.836,-0.6705,77
2026-05-05T06:05:40.451986+00:00,XOM,0.03484033149171271,0.7783,-0.7579,181
2026-05-05T06:05:40.877537+00:00,CVX,0.05935104166666663,0.7351,-0.7717,192
2026-05-05T06:05:41.293698+00:00,ABBV,0.1469103448275862,0.8689,-0.6597,87
2026-05-05T06:05:41.727554+00:00,PFE,0.11474130434782608,0.7351,-0.8689,92
2026-05-05T06:05:42.345980+00:00,KO,0.05910526315789475,0.836,-0.7579,171
2026-05-05T06:05:42.721321+00:00,PEP,0.15418717948717947,0.7717,-0.6249,39
2026-05-05T06:05:43.109359+00:00,COST,0.1979055555555556,0.7269,-0.5994,36
2026-05-05T06:05:43.559414+00:00,AVGO,0.07070967741935483,0.8316,-0.7945,155
2026-05-05T06:05:43.996679+00:00,LLY,0.14563150000000002,0.807,-0.5994,200
2026-05-05T06:05:44.379609+00:00,MRK,0.06959010989010991,0.8074,-0.7096,91
2026-05-05T06:05:44.763633+00:00,TMO,0.19831578947368422,0.7351,0.0,19
2026-05-05T06:05:45.119415+00:00,MCD,0.08722465753424657,0.765,-0.4939,73
2026-05-05T06:09:08.192022+00:00,AAPL,0.12370599999999994,0.8481,-0.6705,200
2026-05-05T06:09:08.607772+00:00,MSFT,0.11540199999999995,0.8074,-0.8004,200
2026-05-05T06:09:09.016199+00:00,GOOGL,0.106433,0.7783,-0.6697,200
2026-05-05T06:09:09.401843+00:00,AMZN,0.13690150000000006,0.8074,-0.7579,200
2026-05-05T06:09:09.833008+00:00,NVDA,0.07081699999999999,0.7783,-0.7003,200
2026-05-05T06:09:10.217776+00:00,META,0.08903900000000001,0.7717,-0.6369,200
2026-05-05T06:09:10.637083+00:00,TSLA,0.06441150000000001,0.8176,-0.743,200
2026-05-05T06:09:11.361153+00:00,JPM,0.01749083969465648,0.7351,-0.8689,131
2026-05-05T06:09:11.757079+00:00,V,0.14032203389830505,0.8591,-0.4939,177
2026-05-05T06:09:12.189954+00:00,UNH,0.15366000000000002,0.7579,-0.5267,45
2026-05-05T06:09:12.608664+00:00,JNJ,0.17630363636363638,0.802,-0.6597,55
2026-05-05T06:09:13.049477+00:00,WMT,0.18916125,0.8442,-0.5423,80
2026-05-05T06:09:13.418759+00:00,PG,0.13114545454545454,0.85,-0.4767,44
2026-05-05T06:09:13.761603+00:00,MA,0.11086372549019609,0.7096,-0.4939,102
2026-05-05T06:09:14.119992+00:00,HD,0.07655185185185183,0.7579,-0.4404,27
2026-05-05T06:09:14.559666+00:00,DIS,0.03524513274336282,0.7845,-0.6249,113
2026-05-05T06:09:14.952050+00:00,BAC,0.06430000000000001,0.836,-0.6705,77
2026-05-05T06:09:15.363691+00:00,XOM,0.03484033149171271,0.7783,-0.7579,181
2026-05-05T06:09:15.758972+00:00,CVX,0.05935104166666663,0.7351,-0.7717,192
2026-05-05T06:09:16.131980+00:00,ABBV,0.1469103448275862,0.8689,-0.6597,87
2026-05-05T06:09:16.593903+00:00,PFE,0.11474130434782608,0.7351,-0.8689,92
2026-05-05T06:09:17.018879+00:00,KO,0.05910526315789475,0.836,-0.7579,171
2026-05-05T06:09:17.458816+00:00,PEP,0.15418717948717947,0.7717,-0.6249,39
2026-05-05T06:09:17.858809+00:00,COST,0.1979055555555556,0.7269,-0.5994,36
2026-05-05T06:09:18.241680+00:00,AVGO,0.07070967741935483,0.8316,-0.7945,155
2026-05-05T06:09:18.633358+00:00,LLY,0.14563150000000002,0.807,-0.5994,200
2026-05-05T06:09:19.038678+00:00,MRK,0.06959010989010991,0.8074,-0.7096,91
2026-05-05T06:09:19.404987+00:00,TMO,0.19831578947368422,0.7351,0.0,19
2026-05-05T06:09:19.798740+00:00,MCD,0.08722465753424657,0.765,-0.4939,73
